keyword,rank
robot,88.1844191606463
patient,64.93034863334383
use,53.617676366115724
studi,44.22003525347109
surgeri,43.14785708345927
result,34.289462529458845
outcom,32.6798886771202
compar,29.47518778891908
surgic,26.77576816043675
perform,26.53753706066579
method,24.979992563514024
assist,24.798963530193085
group,23.888394824534267
rate,23.88481343057706
time,23.79386908607689
includ,22.2750602749602
differ,21.966741583722346
oper,21.571369718040568
data,19.358237394590027
conclus,19.192320175223518
treatment,19.10601616275172
laparoscop,18.558274959950133
evid,17.854303673749246
effect,17.854178150173777
human,17.728222222234773
cancer,17.688115014960324
control,17.52476235182492
train,17.449529581566733
assess,17.012585775518136
approach,16.9628119871902
